,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20
Self Knowledge_1 The Distinctiveness of SelfKnowledge.txt,"('states', 27)","('mental', 19)","('selfknowledge', 18)","('one', 15)","('thesis', 11)","('special', 10)","('infallibility', 10)","('view', 10)","('beliefs', 9)","('method', 9)","('state', 9)","('omniscience', 8)","('belief', 7)","('sensations', 7)","('world', 7)","('even', 6)","('thoughts', 6)","('authority', 6)","('knowledge', 5)","('statement', 5)"
Neutral Monism_1 Neutrality.txt,"('neutral', 53)","('entities', 23)","('mental', 20)","('monism', 18)","('physical', 16)","('neutrality', 13)","('entity', 13)","('nature', 9)","('neither', 8)","('russell', 8)","('interpretation', 8)","('basic', 6)","('given', 6)","('see', 6)","('theory', 6)","('question', 5)","('traditional', 5)","('landini', 5)","('idea', 5)","('notion', 4)"
Medieval Theories  Properties of Terms_2 Signification.txt,"('things', 13)","('signification', 9)","('signify', 8)","('concepts', 7)","('signs', 7)","('concept', 7)","('words', 6)","('sign', 6)","('properties', 5)","('term', 5)","('aristotle', 5)","('sounds', 5)","('plato', 4)","('spoken', 4)","('thing', 4)","('signifies', 4)","('terms', 3)","('one', 3)","('perhaps', 3)","('supposition', 3)"
The Contents of Perception_3 Varieties of Content.txt,"('contents', 89)","('experience', 51)","('experiences', 40)","('content', 35)","('one', 29)","('see', 25)","('russellian', 24)","('fregean', 23)","('different', 22)","('presentation', 22)","('reflect', 20)","('view', 20)","('would', 19)","('properties', 19)","('discussion', 15)","('two', 14)","('way', 14)","('example', 14)","('cube', 14)","('world', 13)"
Moral Cognitivism vs  Non Cognitivism_3 Motivations for Noncognitivism.txt,"('moral', 83)","('properties', 42)","('one', 33)","('judgments', 27)","('argument', 25)","('terms', 25)","('judgment', 24)","('noncognitivism', 22)","('descriptive', 22)","('question', 20)","('theory', 19)","('natural', 18)","('open', 15)","('action', 15)","('even', 15)","('property', 15)","('internalism', 15)","('supervenience', 15)","('hare', 14)","('nonmoral', 13)"
Vienna Circle_2 The Basics People Activities and Overview of Doctrines.txt,"('circle', 39)","('philosophy', 28)","('vienna', 27)","('members', 20)","('carnap', 19)","('science', 18)","('see', 18)","('neurath', 18)","('schlick', 17)","('also', 12)","('like', 12)","('scientific', 11)","('frank', 10)","('early', 10)","('empirical', 9)","('section', 8)","('hahn', 8)","('world', 8)","('berlin', 8)","('knowledge', 8)"
Plato_6 Can we know Platos mind.txt,"('plato', 14)","('works', 12)","('platos', 10)","('socrates', 8)","('say', 8)","('dialogues', 7)","('one', 7)","('readers', 7)","('philosophical', 6)","('characters', 6)","('example', 6)","('arguments', 6)","('read', 5)","('author', 5)","('mean', 5)","('writings', 4)","('trying', 4)","('questions', 3)","('intended', 3)","('asking', 3)"
Neutral Monism_6 The Case for Neutral Monism.txt,"('neutral', 17)","('russell', 16)","('mach', 12)","('monism', 11)","('different', 9)","('problem', 8)","('see', 7)","('james', 7)","('perception', 7)","('experience', 6)","('one', 6)","('world', 6)","('physics', 6)","('object', 6)","('group', 5)","('perceptual', 4)","('part', 4)","('form', 4)","('tomato', 4)","('case', 3)"
Structured Propositions_4 Historical Antecedents to Current Views Frege.txt,"('senses', 11)","('sense', 9)","('frege', 8)","('held', 6)","('together', 6)","('expression', 6)","('constituents', 5)","('linguistic', 5)","('sentence', 5)","('propositions', 4)","('view', 4)","('expressions', 4)","('name', 4)","('complex', 4)","('propositionthought', 4)","('ideas', 3)","('structured', 3)","('proposition', 3)","('thing', 3)","('world', 3)"
Physicalism_14 The Case Against Physicalism I Qualia and Consciousness.txt,"('physicalism', 12)","('argument', 12)","('mary', 10)","('physical', 10)","('know', 8)","('knowledge', 7)","('response', 7)","('posteriori', 7)","('true', 5)","('qualia', 4)","('experience', 4)","('knows', 4)","('everything', 4)","('premise', 4)","('question', 3)","('first', 3)","('raises', 3)","('jacksons', 3)","('see', 3)","('chalmers', 3)"
