,logic,logical,logics,syllogism,syllogisms,model,mathematics,mathematical,number,set,sets,probability,probabilities,proof,language,linguistic,sentences,sentence,proposition,propositions,verb,verbs,discourse,word,words,cognition,cognitive,consciousness,thought,thoughts,knowledge,know,mental,perception,neural,brain,mind,selfknowledge,objects,object,truth,abstract,abstraction,phenomenal,phenomenology,representation,representational,representations,experience,experiences,ethics,ethical,moral,morality,religion
Self Knowledge_1 The Distinctiveness of SelfKnowledge.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01442657454664145,0.018820983587843176,0.020407293391762737,0.09957138552070403,0.06511243006474057,0.04022349640662392,0.24487349589204746,0.0,0.0,0.0,0.0,0.514289673439711,0.0,0.012256460262283383,0.0,0.0,0.0,0.04033009376952874,0.0,0.0,0.0,0.0,0.028768287404057128,0.0,0.0,0.0,0.0,0.0,0.0
Neutral Monism_1 Neutrality.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009235771824885957,0.01508998838490508,0.007760696866679457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333631535645854,0.0,0.0,0.0,0.16841517363890188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010502695353706695,0.0,0.01317535353164473,0.0,0.0,0.0,0.0,0.01879650264214319,0.0,0.0,0.0,0.0,0.0,0.0
The Contents of Perception_3 Varieties of Content.txt,0.0,0.004205970660706067,0.0,0.0,0.0,0.0,0.0,0.0,0.004372410562200505,0.0224870636639122,0.006107541414506497,0.0,0.0,0.0,0.02166088087509902,0.0,0.03873973308273642,0.010072053383521386,0.01569683453130124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010924920519033432,0.0,0.007726992211242103,0.0,0.0,0.0050767248988926456,0.0,0.0,0.0,0.0,0.0,0.0,0.04352207396650625,0.04176693795173267,0.0,0.0,0.0,0.030541073179415318,0.07767474439388553,0.03743000181343813,0.0,0.0,0.2777661091591444,0.26509796555131043,0.0,0.0,0.0,0.0,0.0
Moral Cognitivism vs  Non Cognitivism_3 Motivations for Noncognitivism.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004340860212080178,0.008929920789146072,0.0,0.0,0.0,0.0,0.012902748442086586,0.018447689274733278,0.009615048928572302,0.009999375668068975,0.0,0.0,0.0,0.0,0.0,0.006238256559639926,0.02016036948752507,0.0,0.01626913305369373,0.0,0.007671235939919074,0.0,0.0,0.0,0.004844713645313269,0.0,0.0,0.0,0.008951211676855161,0.0,0.012962408484349056,0.013821852313570842,0.012873107752455381,0.0,0.0,0.0,0.0,0.0,0.006979544074914352,0.0,0.0,0.0,0.0,0.0,0.5716955486427859,0.026909425999695147,0.0
Physicalism_14 The Case Against Physicalism I Qualia and Consciousness.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017877444995844063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029137473929382145,0.03159329991424112,0.0,0.141124209289559,0.16605736144468378,0.0,0.0,0.0,0.0,0.018432382820552744,0.0,0.0,0.01897468799608657,0.017672248089571675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907453962928048,0.027097605715624855,0.0,0.0,0.0,0.0,0.0
The Deflationary Theory of Truth_6 The Deflationary Theory of Falsity.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05236137053092455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17301647328879696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modal Logic_10 Two Dimensional Semantics.txt,0.049975093057079395,0.0,0.03167748758709231,0.0,0.0,0.0,0.0,0.0,0.0,0.016856612207881864,0.0,0.0,0.0,0.0,0.03247458845226086,0.0928610086108551,0.03629979592780956,0.03775074873283093,0.0,0.0,0.0,0.0,0.0,0.0,0.019027914045546705,0.0,0.0,0.0,0.014480649095068557,0.0,0.018481044661714588,0.019027914045546705,0.0,0.0,0.0,0.0,0.01689680206467319,0.0,0.0,0.0,0.1619999328976269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfred Tarski_5 Further reading.txt,0.06400624313630053,0.24228345664835374,0.0,0.0,0.0,0.04223809656614035,0.0,0.03853920529945662,0.03148389605973476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24898019694571083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Descartes Epistemology_2 The Methods Foundationalism and Doubt.txt,0.0,0.008202135540803818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02946252614086914,0.0,0.0,0.04671270276496337,0.0,0.0,0.0,0.0,0.0,0.00753427003562404,0.0,0.15385076191835073,0.019800416637761723,0.009516427635635394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teleological Theories of Mental Content_3 Teleosemantic Theories.txt,0.0,0.0027467395184731696,0.0,0.0,0.0,0.0,0.0,0.0,0.0057108685965819314,0.005874135737287419,0.0,0.011706151822382875,0.0,0.0,0.019804112587989576,0.004044986639030309,0.0,0.006577627209611905,0.013667908219097134,0.0,0.0,0.0,0.0,0.0,0.006630783725849504,0.0,0.02140379475740568,0.0,0.02775392440349209,0.0,0.009660318773219004,0.003315391862924752,0.05736367793072447,0.016911296865693322,0.0,0.019244506779185346,0.005888140963909647,0.0,0.011368961900428182,0.003030688944420795,0.00282265968848461,0.007949577103047957,0.0,0.0,0.0,0.2525873079792438,0.06427638760509836,0.1974203333585164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
