,titles,labels,CountVec,TFIDF,Doc2Vec,counts
0,Self Knowledge_1 The Distinctiveness of SelfKnowledge.txt,mind,2,2,5,1
1,Neutral Monism_1 Neutrality.txt,mind,3,5,3,1
2,The Contents of Perception_3 Varieties of Content.txt,ontology,2,4,1,1
3,Moral Cognitivism vs  Non Cognitivism_3 Motivations for Noncognitivism.txt,ethics,3,2,1,1
4,Physicalism_14 The Case Against Physicalism I Qualia and Consciousness.txt,mind,3,2,1,1
5,The Deflationary Theory of Truth_6 The Deflationary Theory of Falsity.txt,ontology,5,0,0,1
6,Modal Logic_10 Two Dimensional Semantics.txt,ontology,5,0,0,1
7,Alfred Tarski_5 Further reading.txt,logic,4,1,2,1
8,Descartes Epistemology_2 The Methods Foundationalism and Doubt.txt,mind,0,5,0,1
9,Teleological Theories of Mental Content_3 Teleosemantic Theories.txt,ontology,3,2,1,1
10,Logic and Artificial Intelligence_8 Towards a Formalization of Common Sense.txt,mind,5,0,0,1
11,Aristotles Logic_1 Introduction.txt,logic,4,1,4,1
12,Luitzen Egbertus Jan Brouwer_1 The Person.txt,mathematics,1,3,2,1
13,Ancient Logic_3 The early Peripatetics Theophrastus and Eudemus.txt,logic,1,3,0,1
14,States of Affairs_2 Thoughts and States of Affairs.txt,mind,0,5,0,1
15,Abstract Objects_4 The Way of Example.txt,ontology,0,5,0,1
16,Logical Constants_Further reading.txt,logic,4,3,0,1
17,Logic and Artificial Intelligence_2 John McCarthy and Common Sense Logicism10.txt,logic,1,3,0,1
18,Concepts_1 The ontology of concepts.txt,mind,3,2,5,1
19,Propositional Function_12 Conclusion.txt,logic,4,1,2,1
20,Interpretations of Probability_4 Conclusion Recent Trends Future Prospects.txt,mathematics,0,0,0,1
21,Intentionality_9 Can intentionality be naturalized.txt,mind,3,2,5,1
22,The Contents of Perception_5 How Are Objects Represented In Perception.txt,ontology,2,4,5,1
23,Philosophy of Mathematics_6 The Future.txt,mathematics,5,3,4,1
24,Virtue Ethics_3 Objections to virtue ethics.txt,ethics,0,5,1,1
25,Qualia_5 Qualia and the Explanatory Gap.txt,ontology,3,4,5,1
26,Set Theory_6 The set theory of the continuum.txt,mathematics,4,1,2,1
27,Propositions_2 Roles for Propositions Modality.txt,language,5,0,4,1
28,Formalism in the Philosophy of Mathematics_3 Tractarian Formalism.txt,mathematics,1,3,2,1
29,Eliminative Materialism_5 Concluding Comments.txt,mind,3,2,5,1
30,Skepticism_1 Knowledge Justification and Skepticism.txt,mind,5,5,3,1
31,Formalism in the Philosophy of Mathematics_1 Introduction.txt,mathematics,1,3,2,1
32,Russells Logical Atomism_2 Origins and Development of Russells Logical Atomism.txt,language,1,3,4,1
33,Logical Form_7 Notation and Restricted Quantification.txt,logic,4,1,4,1
34,The Frege Hilbert Controversy_1 Introduction.txt,mathematics,5,3,2,1
35,Eliminative Materialism_2 Contemporary Eliminative Materialism.txt,mind,3,2,5,1
36,Set Theory_1 The origins.txt,mathematics,4,1,2,1
37,Cognitive Science_3 Representation and Computation.txt,mind,3,2,1,1
38,Moral Cognitivism vs  Non Cognitivism_2 Principal Varieties in More Detail.txt,ethics,0,5,1,1
39,Bernard Bolzano_2 Bolzanos Main Writings.txt,mathematics,4,1,2,1
40,Metaethics_4 IsOught and the Open Question Argument.txt,ethics,3,2,1,1
41,Model Theory_1 Basic notions of model theory.txt,logic,1,3,4,1
42,Propositions_Sparse and Abundant Conceptions of Propositions.txt,language,1,0,0,1
43,Logical Pluralism_2 Logical Pluralism via Linguistic Pluralism.txt,logic,4,3,4,1
44,The Contents of Perception_6 Concepts and Content.txt,ontology,2,4,5,1
45,Type Theory_4 Type TheorySet Theory.txt,mathematics,1,1,2,1
46,Carl Hempel_4 Scientific Explanations .txt,ontology,5,0,0,1
47,The Identity Theory of Truth_4 Identity sense and reference.txt,language,5,0,0,1
48,Logical Constants_4 Topic neutrality.txt,logic,1,3,4,1
